method,n_train,n_test,rmse,mae,r2,max_error,train_time,predict_time,noise_snr,normalized,config_kernel,config_smoothing,config_kx,config_ky,config_kernel_type,config_alpha,config_n_restarts_optimizer
spline,100,25,249.70280636052254,60.8730625151919,-395.6069575397418,1222.7087780085292,0.0006432533264160156,2.0265579223632812e-05,,True,,0.0,3.0,3.0,,,
kriging,100,25,1.060948064267648,0.6453774413372099,0.9928401861441123,4.152630193439762,0.3332045078277588,0.0001990795135498047,,True,,,,,rbf,1e-06,5.0
rbf,100,25,1.4222939409865865,0.7371382010494797,0.9924525809545581,5.676934922547154,0.00025463104248046875,5.817413330078125e-05,,True,thin_plate_spline,0.0,,,,,
spline,100,25,69.04392978115364,39.99002990133491,-16.78569120997122,281.7942865055689,0.001096487045288086,1.9550323486328125e-05,,True,,0.0,3.0,3.0,,,
kriging,100,25,0.9830224451564736,0.6758829318582888,0.9963946568053256,3.182967421287209,0.2863495349884033,0.00019407272338867188,,True,,,,,rbf,1e-06,5.0
rbf,100,25,1.9302153039798733,0.8742610296720301,0.989489036712191,6.7349317351366835,0.0002703666687011719,6.0558319091796875e-05,,True,thin_plate_spline,0.0,,,,,
spline,100,25,270.25134889797954,54.671123345814586,-205.04721579154213,1351.2374337277936,0.0006747245788574219,1.9788742065429688e-05,,True,,0.0,3.0,3.0,,,
kriging,100,25,1.932093950093501,1.0653154199519934,0.98946856646755,5.734549164025715,0.31499695777893066,0.00020003318786621094,,True,,,,,rbf,1e-06,5.0
rbf,100,25,0.5952561042275494,0.33879938151255407,0.9971456390202096,1.9710486091341402,0.00025463104248046875,5.7697296142578125e-05,,True,thin_plate_spline,0.0,,,,,
spline,100,25,419.46152458076716,94.95331552332568,-1416.377199945762,2080.2349366550816,0.0005092620849609375,1.9788742065429688e-05,,True,,0.0,3.0,3.0,,,
kriging,100,25,0.7585129334688171,0.5498043626043454,0.9953652409501857,1.6741830741441603,0.21837711334228516,0.00019669532775878906,,True,,,,,rbf,1e-06,5.0
rbf,150,37,1.6593798922917056,0.6474553062526143,0.988114053309293,9.155305425304988,0.0004961490631103516,0.00010156631469726562,,True,thin_plate_spline,0.0,,,,,
spline,150,37,717009.7820877967,117930.69324421759,-2219178790.3825,4361399.804128604,0.0014004707336425781,2.1219253540039062e-05,,True,,0.0,3.0,3.0,,,
kriging,150,37,0.904572060598609,0.542473902236886,0.996467936758826,3.1442087608297484,0.2771761417388916,0.0002167224884033203,,True,,,,,rbf,1e-06,5.0
rbf,150,37,1.1555478866349926,0.6292245599866108,0.9939124269497852,4.592243193706437,0.00046515464782714844,0.00010848045349121094,,True,thin_plate_spline,0.0,,,,,
spline,150,37,86.20151642796432,19.594909118808403,-32.876466301518185,517.6462849238948,0.002248525619506836,2.193450927734375e-05,,True,,0.0,3.0,3.0,,,
